Document,TopicID,Topic_model,Name_model,Representation
My dearest in Christ May God be praised!!!I am Mrs. Fatima Iyesa Ismiana from Kuwait. I am married to Usman Ismianaof blessed memory who worked with Kuwait embassy in Madrid Spain for nineyears before he died in the year 2000.We were married for eleven years without a child he died after a briefillness that lasted only four days. Before his death he was a very devotedMuslim and I was a devoted Christian by birth battling with both cancer andfibroid problems when my late husband was alive he deposited the sum of$15million dollars (FIFTEEN million dollars) with an overseas finance andsecurity firm. Presently this money is still with finance and security firm.Recently my doctor told me that I had aterminating illness (cancer) thatwould last for the next four months.Though what disturbs me most is my stroke s ickness having known mycondition I decided to donate this fund to either a Christian organizationor a devoted Christian individual that will utilize this money the way I amgoing to instruct here in. I want this Christian organization or individualto use this money in all sincerity to fund churches orphanages widows andalso propagating the word of God and to ensure that the society upholds theviews and beliefs of the holy bible.The holy bible emphasized so much on thegiving of alms charity and this ha s en couraged me in taking this boldstep.I took this decision because I don't have any child to start from and whereI will stop and my husband's relatives are all Muslims and I don't want myhusband hard earned money to be misused by people that call me anunbeliever. I don't want asituation where this money will be used in anunholy manner hence the reason for taking this bold decision. I know thatafter death I will be with God the most high and the most merciful one. Idon'tneed any telephone communications but will only give you the contact ofmy lawyer Barr Brow Nelson. because he is the one who is going to assist youin making you the beneficiary of the consignment in the finance and securityfirm.With God I know that all thing are possible and as soon as I receiveyour reply through my lawyer I will now give him instruction to make you thebeneficiary of the consignment and all necessary steps to take beforereceiving these f unds and I shall also give you the contact of the financeand secur ity firm I will also issue you a letter of authority that willprove you as the original beneficiary of the funds.I want you and the Christian community where you reside toalways pray forme.Myhappiness is that I lived a life of a true devoted Christian thoughmarried to a Muslim whoever that wants to serve God must serve him in truthand in spirit pl ease always be prayerful all throughyour life.Any delay in your reply will give me room in sourcing for anotherChristianorganization or a devoted Christian for the same purpose.Until I hear fromyou my dreams will rest squarely on your shoulders may the Almighty Godcontinue to guide and protect you.Amen.Yours faithfully Mrs. Fatima Iyesa Ismiana.,6,6,6_utilize money_inherit money_want situation_receive reply,"['utilize money', 'inherit money', 'want situation', 'receive reply', 'alive deposited', 'deposited sum', 'money used', 'donate', 'presently', 'receive']"
Dear Friend! It is with heart of hope that I write to seek your help in the context below. My name is Zuma Seko an origin of Liberia but reside in Europe. I gotyour contact during a business search into the Internet and was inspired to seek your co-operation. Based on trust and because I reside in Europe my father in-law Mr. Peter Chingoka gave me a mandate to source for viable business ventures where he can invest funds of approximately USD18.4M. He was a member of the tournament policy committee responsible for planning the ICC CRICKET WORLD CUP which took place in South Africa from 8th Feb. -23rd march 2003. In the course of carrying out his duties as the chairman of the above committee he over-inflated the contract sum to the tune of USD$18.4 Million. He initially kept this money in a safe deposit Bureau in Zimbabwe under a personal identification number (PIN) to eradicate trace of the deposit to him. Under the administration of President Robert Mugabe civil servants such as my in-law are not in any position to amass such amount of money. To eliminate this the democratic government set up a panel of inquiry to probe the financial activities of any government official that is suspected for misappropriation of funds and the mandated decision to seize all his assets and face a twenty-one years jail term. Based on this law and to avoid complications the funds were later moved through the help of his proxy at the deposit bureau to their affiliate in Europe where it is kept as a deposit. By virtue of his job as a civil servant he is poorly paid and cannot defend the source of the funds if caught. To avoid such he prefers to be anonymous during the execution of this project. This is why I am representing him. Please treat this letter as confidential as possible. I have made all necessary enquiries to conclude the transaction but I do not have the credibility as a foreigner to realize it. It is on this premise that your assistance is required to claim and invest the funds in a joint venture partnership business on behalf of my in-law. My in-law has agreed to compensate your sincere and candid effort in this regard with 20% of the funds when finally received in your local bank account 5% for any expenses incurred and invest the outstanding into a joint venture business partnership that would be under your direct management. I have completed the legal framework required to appoint you as a Trustee to my In-law so that you can claim and invest the funds on his behalf. I look forward to your response. Regards zuma seko Mail sent from WebMail service at PHP-Nuke Powered Site-,5,5,5_south african_johannesburg_south africa_account,"['south african', 'johannesburg', 'south africa', 'account', 'africa', 'deposit', 'contact', 'invest', 'danger zimbabwe', 'zimbabwe']"
Dear=2CGood day=2EI know that this mail might be a surpriseing to you but do consider it as an emergency=2E In a nut shell=2C My name is ANGELA WILLIAMS from the republic of Sierria-Leone in west Africa=2EThe only child of late Dr=2ESolomon WILLIAMS=2E I am looking for someone who can take me as a child or friend I promise to be obidient to you and I will bring happiness to your life=2CMy late father was the managing director of Rainbow Gold and Diamond company in =28KENEMA=29Sierra-Leone=2EBut he was poisoned to death alongside with my mother by his business associate=2C On one of their outing to discuss a business deal in oversea=2CHowever=2C after their death I managed to stay alone and when the war broke out in my country=2E I escape to near by village here=2Cwith every important files of my father=2EHe has the sum of =28US$8=2E2M=29EIGHT million two hundred thousand U=2ES Dollars only=2E This amount was deposited by my late father in one of the leading security company=2C Presently=2C I am saddled with the problem of securing a trust worthy foriegn personality to help me=2E I will map out 20% for you=2E=281=29 you will Stand on my behalf as the beneficiary for the claim of the inheritance from the company since the management of the company adviced that I should solicit for an individual or corporate organization to claim the deposit for me as they cannot release it directly to me due to my status right now=2E=282=29you will Help me secure my travelling documents to meet you as soon as my money is released to you=2EFurthermore=2Cyou can contact the company for confirmation so that the company will know that you are my partner=2Cthat will enable the company correspond with you on my behalf=2EI am giving you this offers as mentioned with every confidence on your acceptance to assist me or adopt me as your Child or business partner if possible and manage the money for me=2E My regard to your family=2EYours sincerely=2EANGELA WILLIAMS=2Eangela48williams1=40yahoo=2Eco=2Ein,0,0,0_invest_investment_deposit_contact,"['invest', 'investment', 'deposit', 'contact', '000', 'security company', 'foreign', 'business', 'account', 'million']"
LADY MARYAM ABACHA ABACHA COURT GIDADO ROAD KANO - NIGERIA ATTENTION:C.E.O I am lady Maryam Abacha wife of the late General Sani Abacha ex-military Head of State of the Federal Republic of Nigeria who died on the 8th of June 1998 of heart problems.I contacted you because of my need to deal with person/persons who my family and I have had no previous personal relationship with. An adventist friend of the family introduced you to me. Since the death of my husband my family had been subjected to all sorts of harrassment and intimidation with lots of negative reports emanating from the government and the press about my husband. The present Government has also ensured that our bank accounts are frozen and all assests siezed. It is in view of this that I seek your co-operation and assistance in the transfer of the sum of US$100Million only being the very last of my family fund in my possession and control. The Federal Government have seized all our properties and frozen all our accounts both local and international but my only hope now is the available US$100Million cash which I carefully packaged and deposited with a security finance company in Holland.My purpose of contacting you is for someone who will be able to pay the dumurrage charges incured in the security finance company and also after transfering the funds will be able to invest the funds on my behalf till such a time when I will be free from my present predicament.Your benefit I can assure you will be very substantial. Please ensure to keep this proposal very secret and confidential for obvious reasons and send to us your private telephone and fax numbers for easy and confidential communication. We await your immediate response. Sincerely yours LADY MARYAM ABACHA,10,10,10_account_accounts_seized_contact,"['account', 'accounts', 'seized', 'contact', '000', 'firm', 'nigerian', 'attorney', 'million', 'dollars']"
And also provide me the following information:NAMES IN FULL:CONTACT ADDRESS:TEL:FAX:OCCUPATION:,2,2,2_contact_telephone number_send_awaiting response,"['contact', 'telephone number', 'send', 'awaiting response', 'anybody success', 'address', 'urgent', 'email', 'sent webmail', 'email address']"
FROM THE DESK OF MUSA GARUBABILL AND EXCHANGE MANAGERAFRICAN DEVELOPMENT BANKOUAGADOUGOU BURKINA FASOI am the manager of bill and exchange at the foreign remittance departmen=tof AFRICAN DEVELOPMENT BANK BURKINA FASO. I got your contact addressthrough internet net work search when searching for a good and reliableperson that will assist me in this transaction.In my department we discovered an abandoned sum of 22.85m US Dollars (twenty two milllion eight hundred and Fifty thousand us dollars)in anaccount thatbelongs to one of our foreign customer who died on 25th JULY2001 IN SUPER SONIC CONCORDE plane crash AT CHARLES DE GAULLE AIRPORT INPARIS FRANCEalong with his entire family.Since we got information about his death we have been expecting his nextof kin to come over and claim his money because we cannot release itunless somebody applies for it as next of kin or relation to the deceasedas indicated in our banking guidelines but unfortunately we learnt thatall his supposednext of kin or relation died alongside with him at the plane crash leavin=gnobody behind for the claim. It is therefore upon this discovery that Idecided to make this business proposal to you and release the money to yo=uas the next of kin or relation to the deceased for safety and subsequentdisbursement since nobody is coming for it and i don't want this money to 20go into the Bank treasury as unclaimed Bill.The Banking law and guideline here stipulates that if such money remainedunclamed after four year the money will be transfered into the Banktreasury as unclaimed fund.The request of foreigner as next of kin in this business is occasioned bythe fact that the customer was a foreigner and a Burkinabe cannot stand a=snext of kin to a foreigner.I agree that 30% of this money will be for you as foreign partner inrespect to the provision of a foreign account and 70% would be for ME;Therefore to enable the immediate transfer of this fund to you asarranged you must apply first to the bank as relations or next of kin ofthe deceased indicating your bank name your bank account number yourprivate telephone and fax number for easy and effective communication andlocation where inthe money will be remitted.Upon receipt of your reply I will send to you by fax or email the text o=fthe application. I will not fail to bring to your notice that thistransaction is hitch free and that you should not entertain any atom offear as all required arrangements have been made for the transfer.You should contact me immediately as soon as you receive this mail throug=hmy private line.Your's faithfullyMR. MUSA GARUBA.BILL AND EXCHANGE MANAGERAFRICAN DEVELOPMENT BANKOUAGADOUGOU BURKINA FASO,3,3,3_claim money_receipt reply_indicated banking_unclaimed,"['claim money', 'receipt reply', 'indicated banking', 'unclaimed', 'exchange', 'account', 'receipt', 'banking', 'banking law', 'account number']"
FROM:MR.GREG THAMBO.JOHHANESBURG- 2021SOUTH AFRICATEL:+27 73 077 5277RE-BUSINESS ENQUIRYDear Sir.I am Mr. Greg Thambo a South African and a senior civil servant (General supervisor) with South African Gold and Diamond Mining and Processing company Krugersdrop the immediate younger brother to Mr. Oliver Thambo (African National Congress- ANC) who died in Johannesburg after a long illness after he returned to South Africa in 1990 following many yearsof living in exile including in Tanzania Sweden.On the 24th April 1994 when apartheid was dismantled the South African Government decided to compensate the families of all the Freedom Fighters who lost their lives during the struggle by placing the educated elites in high offices in South African Government.( KNOWN AS BLACK EMPOWERMENT PROGRAMME HERE IN SOUTH AFRICA) among which my family was included. Forinstance Nelson Mandela was compensated with being the first president of the Republic of South Africa; Richard Parkes was appointed the manager of Shell and BP South Africa petroleum and refinery (S.A.P.R) Jeff Radebe was appointed the Minister of public Enterprises and Trevor Manual was appointed the Finance Minister.In fact I got your contact / credibility from South African information exchange assisted by the south African Chamber of Commerce and Industry where I however read your company profile believing in its reputable capability as regards my intensive purposes to you.As a matter of fact I have accumulated sufficiently USD$5 MILLION(Five Million United States Dollars) by virtue of my position in the office as a senior civil servant in the South African Gold and Diamond mining company Krugersdrop. Presently this fund is absolutely kept in an insurancesuspense holding in a private security company in South Africa. The deposition of this fund was made easier for me with a very strong written agreement and signatory in a different beneficiary under my control.Being a South Africa serving civil servant it is very difficult for me to invest this fund here in my country�s the law strictly prohibits. If the government got knowledge of it the fund will be confiscated. I have no doubt that you understand this point very well. This fund is my struggle and sweat through commissions from unaccountable contracts and other profitable additions from the company�s original cost price mostly gained from customers around the world.Therefore my plan and intention about this fund is to transfer it overseas into a straightforward trustworthy and God-fearing person�s less taxable account for investment purpose only. Using your name/company as the beneficiary of the fund to avoid my government�s intervention. Last time Igot in contact with some one from South Korea but he became unnecessarily greedy concerning his commission in the deal before I decided to contact you.If you are interested in assisting me please notify me immediately on the above private telephone number or send me e-mail on my very confidential e-mail address. But if you are not in position to assist me please maintain the high level of confidentiality needed in this Transaction.Yours Faithfully.Mr. Greg Thambo Is your PC infected? Get a FREE online computer virus scan from McAfee� Security.,5,5,5_south african_johannesburg_south africa_account,"['south african', 'johannesburg', 'south africa', 'account', 'africa', 'deposit', 'contact', 'invest', 'danger zimbabwe', 'zimbabwe']"
From;Mr.Michael Kamah and Family Johannesburg South Africa.My Dear Good day.This very confidential request should come as a surprise to you.But it is because of the nature of what is happening to me and my family urged me to contact you and I quite understand that this is not the best way to contact you because of the nature of my request and the attention it requires.I got your contact information from your country's information directory during my desperate search for someone who can assist me secretly and confidentially in relocating and managing some family fortunes.My name is Mr.Michael Kamah the second son of Mr.Smith Kamah of Beitbridge Zimbabwe.At the height of the present political crises in our country in which the white farmers in our country are being slained and ripped off their belongings by the supporters of our president Mr.Robert G.Mugabe in their efforts to reclaim all the white owned farms in our country my father and my elder brother were brutally slained to a painful death on the 13th of february 2002 in their struggle to protect some white farmers who ran to take refuge in our house.My father during his life on earth was a prominent business man who trades on diamond and gold from some foreign countries .He publicly opposes the crude policies and crime against humanity on the white farmers by Mr.Robert Mugabe and his followers which they enforced media law restrictions to protect their wicked acts.That not being enough the president and his followers after winning the last undemocratic elections decided to block an!d confiscate all accounts and assets of our black indigenes[that included my fathers assets and accounts] who oppose his policies and render support to these white farmers along with the assets of these white farmers themselves that are being presently confiscated.I therefore decided to move my mother and younger sister to the Republic of South Africa where we presently live without anything and without any source of livelyhood.During my fathers life on earth he had deposited the sum of Seven Million and Four Hundred Thousand United States Dollars[$7.400.000.00] in a trunk box with a Finance and Security Company in the Republic of Togo for a cash and carry Diamond and Gold business with some foreign business customers awaiting instructions to be moved to its destination which he never completed before he met his untimely death on that faithful day.In view of this and as the only surviving son of my father and with the present clamp down killing and confiscation of his assets as one of those who render support to the white farmers in our country I therefore humbly wish to inform you of my intentions to use your name and adress in making sure that this fund is lifted out of Africa finally to the Europe office of the finance company and also seek for your honest and trustworthy assistance to help me clear and accommodate this money over there before it is dictated out and blocked by the present Mugab!e's regime.My mother is presently with the valid document covering this deposit.Now this is what I actually want you to do for me;1. I want you to be presented to the Finance and Security company as the person I contacted to assist my family for this purpose with whose name and adress myself and my mother will forward to them their office in the Republic of Togo as the person that will clear this money when they lift it out to their europe office.2. To finally assist me in accommodating and managing this money in any lucrative business in your country for at least three years. Please I hope you will grant and view this very request with favour and much understanding of our situation now and will be a very honest and reliable person to deal with.And also bearing in mind the confidential nature of this my request I emphasize please that you keep every bit of it to yourself so as to protect my familys future and yourself rendering this help.Thanking you in anticipation of your urgent response as soon as you read this very request.Best Regards Mr.Michael Kamah and family.,5,5,5_south african_johannesburg_south africa_account,"['south african', 'johannesburg', 'south africa', 'account', 'africa', 'deposit', 'contact', 'invest', 'danger zimbabwe', 'zimbabwe']"
CENTRAL BANK OF NIGERIA. LAGOS-NIGERIAOFFICE OF THE GOVERNOR YOUR PAYMENT ;Ref;NUMBERS 000999/CBN/7535/2003. URGENT. Direct line 234-80-348-53467,1,1,1_foreign account_payment_transferred_contract awarded,"['foreign account', 'payment', 'transferred', 'contract awarded', 'nigerian', 'contract award', 'beneficiary', 'paid', 'national petroleum', 'invoiced']"
Good Day Dear Friend My name is Mr. Femi Gidado manager credit and oreign bills of CENTRAL BANK OF NIGERIA (C.B.N). I am writing in respect of a foreign customer of my bank with account mber14-255-2004/utb/t who perished in a plane crash [Korean Air Flight 801] with the whole assengers aboard on August 6 1997.Since the demise of this our customer I personally has watched with keen interest to see the next of kin but all has proved abortive as no one has come to claim his funds of $20 m [twenty million united states dollars]which has been with my branch for a very long time.On this note I decided to seek for whom his name hall be used as the next of kin as no one has come up to be the next of kin. And the banking ethics here does not allow such money to stay In view of this I got your contact while searching through the internet after realizing that your name and country is similar to the deceased.I will give you 40% of the total sum. Upon the receipt of your sponse I will send you by e-mail the application and the next step to take. I will not fail to bring to your notice that this business is hitch free and that you should not entertain any fear as all modalities for fund transfer can be finalized with in five banking days after you apply to the bank as a elation to the deceased.When you receive this letter. Kindly send me an e-mail signifying your decision including your private or mobile Telephone numbers for quick communication.Respectfully submitted BEST REGARDSMr. Femi Gidado,3,3,3_claim money_receipt reply_indicated banking_unclaimed,"['claim money', 'receipt reply', 'indicated banking', 'unclaimed', 'exchange', 'account', 'receipt', 'banking', 'banking law', 'account number']"
Financial Security Assurance1 Angel Court London EC2R 7HJDear SIR I am Mr. William Regal the Branch Manager of Financial Security Assurance here in London. In my department I discovered an abandoned sum of US$6 500 000.00 (Six million five hundred thousand united states dollars) in an account that belongs to one of our foreign customers who died on 2nd January 2000 along with his entire family as a result of an automobile crash. Since his death none of his relations or next-of-kin has come forward to lay claims for this money as the heir this is the basically the reason why I have contacted you. We cannot release the fund from his account unless someone applies for claim as the next-of-kin to the deceased as indicated in our operating guidelines. It is upon this discovery I now humbly request your permission to have you stand as a next of kin to the deceased so that the funds can be released in your favor as the beneficiary next of kin. I shall compensate you with 30% of the total sum for your assistance.Please if this proposal is acceptable by you kindly get back to me via my private email address provided below and furnish me with your full name address and telephone number. Upon receipt of your mail I shall bring to your knowledge detailed information on how this deal would be transacted. I look forward to hearing from you.Kind regards Mr. William Regal,4,4,4_proceeds account_account_executed legitimate_lodged,"['proceeds account', 'account', 'executed legitimate', 'lodged', 'account valued', 'contacted', 'issued', 'proceeds', 'issued notice', 'barrister']"
Mrs. Comfort Usman WaseMrs_Comfort_Usmanwase@ciudad.com.arHello Sir I am Mrs. Comfort Usman Wase widow of the late Col. Usman Wase son of the =Emir of Wase Plateau State Nigeria. My late husband was the Military =Administractor of Kano State during the reign of the late General Sani =Abacha. He died in the ill-fated Executive Air Services EAS aircraft that =crashed at the Heipan airport near Jos the Plateau state capital. My late =husband was close to the then Head of State and Commander-in-Chief of the =Federal Republic of Nigeria and he enjoys regular largesse from the Head of =State as the Military Administrator of Kano State where the president came =from.Regularly my late husband bags these largesse in local and foreign =currencies to his village (Wase) where they are stored in big trunk boxes in =his father Emir's palace. These funds were so staggering that the Emir my =late husband's father advised him to make silos for the funds. 12 large =overhead water tanks were made in the premises of the Emir's Palace and all =the funds were transferred and stored there. The funds in the silos were top =secret between my late husband and his father whom he deceived into believing =that the money belong to General Sani Abacha the then Head of State. After my late husband's death in the ill-fated air craft on 7th January 1997 =leaving his large fortune unprotected. The head of State General Sani Abacha =paid a condolence visit to the Emir my late husband's father the old man =believing that the fund in the silos belongs to the head of state and knowing =how brutal he was at that time informed the head of state of the money his =son has been keeping for him. He thanked the old man and ordered the money to =be moved to Aso Rock - Abuja (Government House at the Federal Capital =Territory). The money was removed with special army bullion vans in the most =bizarre manner that nothing was left for us (the family) to inherit. To us on =that day it was like another river has emptied its water into the ocean. =Our problems (me and my children) started from that day.I have just been informed by my late husband's attorney our family attorney =Barrister I.K. Saggay Principal Partner - Casefile & Co. that my late =husband operated secret domiciliary account with fictitious name in one of =the commercial banks and all the funds amounting to US$4.5 million has been =credited in his favour and I the widow was nominated as the next of kin as =stated in his WILL and last testament. He has now instructed me to seek in =confidence a foreign partner who will assist me in transferring the funds =abroad to secure the future and education of my children.In the light of the above I would like you to contact me if you are =interested in this project so that I can direct you to our family attorney =who will furnish you with further details and the modalities on how the fund =can be wired to your bank account. You will be at liberty to negotiate a =commission for your assistance with our family attorney. On the contrary if =this proposal does not meet your requirement or you are not interested =please do not hesitate to inform us so that we can make an alternative =arrangement.Kind regards Mrs. Comfort Usman WaseMrs_Comfort_Usmanwase@ciudad.com.ar 0d507b99-262d-473c-9e12-cf016e4fdae0,10,10,10_account_accounts_seized_contact,"['account', 'accounts', 'seized', 'contact', '000', 'firm', 'nigerian', 'attorney', 'million', 'dollars']"
Dear Sir How are you and your family today? I hope that you are all okay? I foundinformation about you and decided to contact you for an importantassistance. I am Michael Nkomo a citizen of Zimbabwe but i am=20contactingfrom a neiboring country here in IVORY CAOST where i am nowsicking political assylum.I am the only son of Kenneth Nkomo a wealthy farmer and senior=20politicianwith the opposition political party in my country Movement for=20DemocraticChange [MDC]. My father was murdered by our wickedPresident Robert Mugabe and I fled my country because I have become hisnext target to eliminate.My father was a fighter for Justice and a moving force in the MDC a=20partwanting to end the several years of brutal dictatorship government ofPresident Robert Mugabe. You will read more stories about PresidentMugabe's brutal acts by visiting this web sites;=20 My father was accused of Treason and also assisting the White farmers infighting the government. Few weeks after his arrest he was reported=20dead.The government claimed he died of heart attack and his body was never=20seenfor proper autopsy they buried him in the government cemetery. My=20father'sassociate Mr. Martin Olds a White farmer from Britain assisted me infighting my father's death through theCourt and media; the government saw us as a big treat to them and=20decided toeliminate us. Mr. Olds was attacked and murdered in his house butfortunately before they came looking for me I received the news and I=20hadto flee through the border to South Africa to save my life. My arrival=20herein IVORY COAST still remains like a miracle to me.Here is my reasons for contacting you I am having a huge sum of moneyinthe total sum of $13.6Million presently lodge with the security company=20inholland My father kept this money in in two trunk boxes in disguise asfamily treasures and could not bank them because of the situation in my country. My father's business farms andbanks account were seized by the government before his arrest and murder.He told me everything concerning the funds while he was still in=20detentionand I have made several arrangements concerning the shipment of the=20boxesout of my country because we cannot invest it there. Iwas on the process when I fled the country. I need your assistance insecuring the funds there in your country so that I can arrange on how=20tocome overto your country to invest with the fund I am willing to offer=20you30% of the $13.6Million for your assistance.Please let me know if you can assist me so that I can give you moredetails on how we shall proceed. As I wait for your urgent response =20pleasetreat this information as top secret.Regards Michael Nkomo=20 This email was brought to you by Cosmo.com Mail - 8 megs free!,5,5,5_south african_johannesburg_south africa_account,"['south african', 'johannesburg', 'south africa', 'account', 'africa', 'deposit', 'contact', 'invest', 'danger zimbabwe', 'zimbabwe']"
AISHA KABILA LURENT Do You Yahoo!?Tired of spam? Yahoo! Mail has the best spam protection around Do You Yahoo!?Tired of spam? Yahoo! Mail has the best spam protection around,2,2,2_contact_telephone number_send_awaiting response,"['contact', 'telephone number', 'send', 'awaiting response', 'anybody success', 'address', 'urgent', 'email', 'sent webmail', 'email address']"
FROM=3A MR=2E WILLIAMS SAVIMBITELL=3A 27-833-515247E-MAIL=3A william=5Fsavimbi2001=40yahoo=2Ecom JOHANNESBURG SOUTH AFRICAPrivate and ConfidentialDear Sir=2CYou may be surprised to receive this letter from me since you do notknow me personally=2E I am Mr=2E Williams savimbi =28Jnr=29 the first son of MR=2ENKONNOH SAVIMBI=2C who was recently murdered in the land dispute in Zimbabwe=2EI got your contact through my research in the South African Chambers ofCommerce & Industries for a responsible and a God fearing person who Ican trust by using his personality and his bank account for thistransaction=2E When I got your contact=2C I prayed over it then I decided to write to you=2EBefore the death of my father=2C he deposited the sum of USD$10 Million =28TENMILLION UNITDED STATES DOLLARS=29 in one of the private security companies=2C in Johannesburg South Africa as if he fore saw the looming danger in Zimbabwe=2EThis money is protected in a big metal box and was declared to thesecurity company at the point of deposit as precious valuables e=2Eg=2E=3A Gold=2C diamond and germ stone to avoid the security company knowing that the content of the consignment deposited with them contains cash=2E This amount was meant for the purchase of new machines and chemicals for the farms and establishment of a new farm in Swaziland=2EThis land problem came when Zimbabwe President MR=2EROBERT MUGABEintroduced a New Land Act reform=2C which wholly affected the rich white and some few black farmers=2E This resulted to killing and mob action by Zimbabwean warveterans=2E In fact=2C a lot of people were killed because of this land reform act for which my father was one of the victims=2EIt is for this reason that my family and i who are staying in SouthAfrica now as refugees have decided to transfer my father's money to a foreign country since the law of South Africa prohibits a person with a refugee status to operate a bank account or do any banking transaction in South Africa=2EAs the only son of my father=2C I am saddled with the responsibility ofseeking for a genuine foreign account where this money could be transferred without the knowledge of my government who are bent on my family=2E I must also let you know that this transaction is 100%risk free=2EIf you are really capable and willing to assist me=2C I and my family haspromised to give you 30% of the total money=2C 10% is for the expensesthat may occur during the time of the transaction and the rest of the 70%is for me and my family for the investment in your country=2EPlease contact me immediately with the above recommended privatee-mail=3Awilliam=5Fsavimbi2001=40yahoo=2Ecom phone 27-833-515247 indicating your interest=2E Please be aware that confidentiality and urgency is very vital to this transaction=2EThanks for your mutual co-operation as I expect your soonest response=2EBest regardsMr=2E Williams Savimbi,5,5,5_south african_johannesburg_south africa_account,"['south african', 'johannesburg', 'south africa', 'account', 'africa', 'deposit', 'contact', 'invest', 'danger zimbabwe', 'zimbabwe']"
Barrister.james oniE-mail:jamesoni2002@rediffmail.comDear FriendIt is obvious that this proposal will come to you as a suprise. This isbecause we have not met before but i am inspired to sending you this emailby the huge fund transfer opportunity that will be of mutual benefit tothe two of us.However I am Barrister james oni the Personal Attorneyto the late Engr.Brian Loyd Smith a national of Isle ofMan in UK who used to workwith Shell Petroleum Development Company(SPDC)in Nigeria.On the 21st of April 1996 my client his wife And their three childrenwere involved in a car accident along Sagamu/Lagos Express Road.Unfortunately they all lost their lives in the event of the accident Since then I have made several enquiries to several Embassies to locateany of my clients extended relatives this has also proved successful.After these several unsuccessful attempts I decided to trace hisrelatives over the Internet to locate any member of his family but of noavail hence I contacted you.I contacted you to assist in repartrating the money and property leftbehind by my client I can easily convince the bank with my legal practicethat you are the only surviving relation of my client. Otherwise theEstate he left behind will be confiscated or declared unserviceable by thebank where this huge deposits were lodged. Particularly the Bank wherethe deceased had an account valued at about $5million U.S dollars( fiveMillion United State of America dollars).Conseqently The bank issued me a notice to provide the next of kin or havethe account confiscated within the next ten official working days. since ihave been unsuccesfull in locating the the relatives for over severalyears now.I seek your consent to present you as the next of kin of thedeceased so that the proceeds of this account valued at $5million U.Sdollars can be paid to your account and then you and me can share themoney.I have all necessary legal documents that can be used to back up any claimwe may make. All I require is your honest cooperation to enable us seethis deal through. I guarantee that this will be executed underalegitimate arrangement that will protect you from any breach of the law.Please getin touch with me by my email:jamesoni2002@rediffmail.com toenable usdiscuss further.Yours Faithfully Barrister james oni.N.B. Please indicate your telephone and fax numbers for easy communicationin this mutual transaction. Please forward your reply to:jamesoni2002@rediffmail.com. GO.com Mail Get Your Free Private E-mail at,4,4,4_proceeds account_account_executed legitimate_lodged,"['proceeds account', 'account', 'executed legitimate', 'lodged', 'account valued', 'contacted', 'issued', 'proceeds', 'issued notice', 'barrister']"
Hello My name is DAVID ELLIS a nationality of UnitedKingdom I have been diagnosed with Esophageal cancer.It has defied all forms of medical treatment andright now I have only about a few months to live according to medical experts.I have not particularlylived my life so well as I never really cared foranyone(not even myself)but my business. Though I amvery rich I was never generous I was always hostileto people and only focused on my business as that wasthe only thing I cared for. But now I regret all thisas I now know that there is more to life than justwanting to have or make all the money in the world.Ibelieve when God gives me a second chance to come tothis world I would live my life a different way fromhow I have lived it.Now that God has called me I have willed and givenmost of my property and assets to my immediate andextended family members as well as a few closefriends.I want God to be merciful to me and accept mysoul so I have decided to give alms to charityorganizations as I want this to be one of the lastgood deeds I do on earth.So far I have distributed money to some charityorganizations in the U.A.E Somalia and Malaysia.Now that my health has deteriorated so badly I cannotdo this myself anymore. I once asked members of myfamily to close one of my accounts and distribute themoney which I have there to charity organization inBulgaria and Rwanda they refused and kept the moneyto themselves. Hence I do not trust them anymore asthey seem not to be contended with what I have leftfor them.The last of my money which no one knows of is the hugecash deposit of Twenty Eight Million USD that I havewith a finance/Security Company abroad. I will wantyou to help me collect this deposit and despatch it tocharity organizations.I have set aside 20% for you and for your time.Please reply to my personal e.mail address ellisd@katamail.comGod be with you.DAVID ELLIS,11,11,11_willed_money charity_charity_charity organization,"['willed', 'money charity', 'charity', 'charity organization', 'want god', 'charity organizations', 'help collect', 'believe god', 'left money', 'money world']"
A Letter From Mr DennisDear Partner =20My name is Mr Dennis Stevenson =20The Chairman of the Board of Directors bank of=20Scotland United=20Kingdom.I have only written to seek your help and assistance.I wish=20to make a transfer of money involving a huge amount of money worth =20(Fifteen-million pounds sterlings) (=C2=A315 000 000.00) pounds sterlings.I=20am proposing to make this transfer to a any bank account of your=20choice. Thus i need your help and support. I propose an offer of 45%=20of the total amount to be your own share after the transfer has been=20successfully concluded while 50% will be for my family and I. Why 5%=20will be for any expenses we made during the transfer process.Kindly=20reply to me stating your interest and I shall give you the details and=20necessary proceedure in which to make the transfer.I anxiously await=20your response Reply soonest Dennistevenson0@yahoo.co.uk Thanks and=20Godbless you.Thanks and God bless you.Mr Dennis Stevenson.,9,9,9_foreign account_beneficiary_account mr_000 00,"['foreign account', 'beneficiary', 'account mr', '000 00', 'regards claiming', 'account foreigner', 'accounts holding', 'contact', 'owner account', 'risk troubles']"
